nama lokasi;indeks pencemaran
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Bangka ;1,61
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Tegal Parang ;4,82
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
 Mampang Prapatan ;1,1
